Utterance,Intents
insurans pelancongan,"promotions: 0.343
Products and Services: 0.464
"
details about life insurance,"Products and Services: 0.956
"
what kind of protection do you offer,"Products and Services: 0.754
"
how to buy travel insurance,"how-to-transfer-funds-to-tabung-haji: 0.397
Products and Services: 0.997
"
I want to get travel protection,"Products and Services: 0.716
"
do you offer home insurance,"Products and Services: 0.979
"
what is affin avance about,"how-to-register-for-affinsecure: 0.125
"
how to apply affin avance,"Products and Services: 0.16
"
what is affin invikta about,"Products and Services: 0.242
"
how to apply affin invikta,"Products and Services: 0.547
"
how can i transfer credit card balance to Affin card,"guide-customer-on-how-to-perform-trx-in-affinmax: 0.044
"
how can i get the information of debit cards,"Products and Services: 0.095
"
what is the minimum amount for FD placement,"how-do-you-calculate-fd-interest: 0.066
"
need information about Foreign Currency,"Products and Services: 0.763
"
akaun untuk dewasa,"transfer-to-a-1-addin-account: 0.099
"
menabung untuk hari tua,"improving-system: 0.048
"
what is the interest rate for junior account,"vacancy-practical-inquiry: 0.063
"
how can i know about Interest Rates,"Products and Services: 0.313
"
What is the interest rate for home loan,"Products and Services: 0.337
"
What is the interest rate for personal loan,"i-want-to-apply-for-a-personal-loan: 0.841
"
info about accident coverage,"maintenance-form: 0.269
Products and Services: 0.753
"
